"name","id","base_experience"
"vanilluxe",584,268
"deerling",585,67
"sawsbuck",586,166
"emolga",587,150
"karrablast",588,63
"escavalier",589,173
"foongus",590,59
"amoonguss",591,162
"frillish",592,67
"jellicent",593,168
"alomomola",594,165
"joltik",595,64
"galvantula",596,165
"ferroseed",597,61
"ferrothorn",598,171
"klink",599,60
"klang",600,154
"klinklang",601,260
"tynamo",602,55
"eelektrik",603,142
"eelektross",604,232
"elgyem",605,67
"beheeyem",606,170
"litwick",607,55
"lampent",608,130
"chandelure",609,260
"axew",610,64
"fraxure",611,144
"haxorus",612,270
"cubchoo",613,61
"beartic",614,177
"cryogonal",615,180
"shelmet",616,61
"accelgor",617,173
"stunfisk",618,165
"mienfoo",619,70
"mienshao",620,179
"druddigon",621,170
"golett",622,61
"golurk",623,169
"pawniard",624,68
"bisharp",625,172
"bouffalant",626,172
"rufflet",627,70
"braviary",628,179
"vullaby",629,74
"mandibuzz",630,179
"heatmor",631,169
"durant",632,169
"deino",633,60
"zweilous",634,147
"hydreigon",635,300
"larvesta",636,72
"volcarona",637,275
"cobalion",638,290
"terrakion",639,290
"virizion",640,290
"tornadus-incarnate",641,290
"thundurus-incarnate",642,290
"reshiram",643,340
"zekrom",644,340
"landorus-incarnate",645,300
"kyurem",646,330
"keldeo-ordinary",647,290
"meloetta-aria",648,270
"genesect",649,300
"chespin",650,63
"quilladin",651,142
"chesnaught",652,239
"fennekin",653,61
"braixen",654,143
"delphox",655,240
"froakie",656,63
"frogadier",657,142
"greninja",658,239
"bunnelby",659,47
"diggersby",660,148
"fletchling",661,56
"fletchinder",662,134
"talonflame",663,175
"scatterbug",664,40
"spewpa",665,75
"vivillon",666,185
"litleo",667,74
"pyroar",668,177
"flabebe",669,61
"floette",670,130
"florges",671,248
"skiddo",672,70
"gogoat",673,186
"pancham",674,70
"pangoro",675,173
"furfrou",676,165
"espurr",677,71
"meowstic-male",678,163
"honedge",679,65
"doublade",680,157
"aegislash-shield",681,250
"spritzee",682,68
"aromatisse",683,162
"swirlix",684,68
"slurpuff",685,168
"inkay",686,58
"malamar",687,169
"binacle",688,61
"barbaracle",689,175
"skrelp",690,64
"dragalge",691,173
"clauncher",692,66
"clawitzer",693,100
"helioptile",694,58
"heliolisk",695,168
"tyrunt",696,72
"tyrantrum",697,182
"amaura",698,72
"aurorus",699,104
"sylveon",700,184
"hawlucha",701,175
"dedenne",702,151
"carbink",703,100
"goomy",704,60
"sliggoo",705,158
"goodra",706,300
"klefki",707,165
"phantump",708,62
"trevenant",709,166
"pumpkaboo-average",710,67
"gourgeist-average",711,173
"bergmite",712,61
"avalugg",713,180
"noibat",714,49
"noivern",715,187
"xerneas",716,340
"yveltal",717,340
"zygarde-50",718,300
"diancie",719,300
"hoopa",720,270
"volcanion",721,300
"rowlet",722,64
"dartrix",723,147
"decidueye",724,265
"litten",725,64
"torracat",726,147
"incineroar",727,265
"popplio",728,64
"brionne",729,147
"primarina",730,265
"pikipek",731,53
"trumbeak",732,124
"toucannon",733,218
"yungoos",734,51
"gumshoos",735,146
"grubbin",736,60
"charjabug",737,140
"vikavolt",738,250
"crabrawler",739,68
"crabominable",740,167
"oricorio-baile",741,167
"cutiefly",742,61
"ribombee",743,162
"rockruff",744,56
"lycanroc-midday",745,170
"wishiwashi-solo",746,61
"mareanie",747,61
"toxapex",748,173
"mudbray",749,77
"mudsdale",750,175
"dewpider",751,54
"araquanid",752,159
"fomantis",753,50
"lurantis",754,168
"morelull",755,57
"shiinotic",756,142
"salandit",757,64
"salazzle",758,168
"stufful",759,68
"bewear",760,175
"bounsweet",761,42
"steenee",762,102
"tsareena",763,255
"comfey",764,170
"oranguru",765,172
"passimian",766,172
"wimpod",767,46
"golisopod",768,186
"sandygast",769,64
"palossand",770,168
"pyukumuku",771,144
"type-null",772,107
"silvally",773,285
"minior-red-meteor",774,154
"komala",775,168
"turtonator",776,170
"togedemaru",777,152
"mimikyu-disguised",778,167
"bruxish",779,166
"drampa",780,170
"dhelmise",781,181
"jangmo-o",782,60
"hakamo-o",783,147
"kommo-o",784,300
"tapu-koko",785,285
"tapu-lele",786,285
"tapu-bulu",787,285
"tapu-fini",788,285
"cosmog",789,40
"cosmoem",790,140
"solgaleo",791,340
"lunala",792,340
"nihilego",793,285
"buzzwole",794,285
"pheromosa",795,285
"xurkitree",796,285
"celesteela",797,285
"kartana",798,285
"guzzlord",799,285
"necrozma",800,300
"magearna",801,300
"marshadow",802,300
"poipole",803,210
"naganadel",804,270
"stakataka",805,285
"blacephalon",806,285
"zeraora",807,300
"meltan",808,150
"melmetal",809,300
"grookey",810,62
"thwackey",811,147
"rillaboom",812,265
"scorbunny",813,62
"raboot",814,147
"cinderace",815,265
"sobble",816,62
"drizzile",817,147
"inteleon",818,265
"skwovet",819,55
"greedent",820,161
"rookidee",821,49
"corvisquire",822,128
"corviknight",823,248
"blipbug",824,36
"dottler",825,117
"orbeetle",826,253
"nickit",827,49
"thievul",828,159
"gossifleur",829,50
"eldegoss",830,161
"wooloo",831,122
"dubwool",832,172
"chewtle",833,57
"drednaw",834,170
"yamper",835,54
"boltund",836,172
"rolycoly",837,48
"carkol",838,144
"coalossal",839,255
"applin",840,52
"flapple",841,170
"appletun",842,170
"silicobra",843,63
"sandaconda",844,179
"cramorant",845,166
"arrokuda",846,56
"barraskewda",847,172
"toxel",848,48
"toxtricity-amped",849,176
"sizzlipede",850,61
"centiskorch",851,184
"clobbopus",852,62
"grapploct",853,168
"sinistea",854,62
"polteageist",855,178
"hatenna",856,53
"hattrem",857,130
"hatterene",858,255
"impidimp",859,53
"morgrem",860,130
"grimmsnarl",861,255
"obstagoon",862,260
"perrserker",863,154
"cursola",864,179
"sirfetchd",865,177
"mr-rime",866,182
"runerigus",867,169
"milcery",868,54
"alcremie",869,173
"falinks",870,165
"pincurchin",871,152
"snom",872,37
"frosmoth",873,166
"stonjourner",874,165
"eiscue-ice",875,165
"indeedee-male",876,166
"morpeko-full-belly",877,153
"cufant",878,66
"copperajah",879,175
"dracozolt",880,177
"arctozolt",881,177
"dracovish",882,177
"arctovish",883,177
"duraludon",884,187
"dreepy",885,54
"drakloak",886,144
"dragapult",887,300
"zacian",888,335
"zamazenta",889,335
"eternatus",890,345
"kubfu",891,77
"urshifu-single-strike",892,275
"zarude",893,300
"regieleki",894,290
"regidrago",895,290
"glastrier",896,290
"spectrier",897,290
"calyrex",898,250
